,comment_text,id,identity_hate,insult,obscene,severe_toxic,threat,toxic
30,"""
SURPRISE!
                    /""""\
                   |\./|
                   |   |
                   |   |
                   |>~<|
                   |   |
                /'\|   |/'\..
            /~\|   |   |   | \
           |   =[@]=   |   |  \
           |   |   |   |   |   \
           | ~   ~   ~   ~ |`   )
           |                   /
            \                 /
             \               /
              \    _____    /
               |//''`\|
               | (( +==)) |
               |\_|_//|""",8b20912530eebd56,0,0,0,0,0,0
31,"Some ratings from the VCHip 

1. The Power: TV-PG-L (hell, shit, pissed)
2. Just Set Up the Chairs: TV-PG-V (the Destroyer of World murders)
3. Caffeinated Concert Tickets: TV-PG-D (lady pecs = boobs, real reason people go to concerts is too see hot girls)
4. Death Punchies: TV-PG-V: (death kwon do, Rigby's bare ass)
5. Free Cake: TV-PG-L: (pissed)
6. Meat Your Maker: TV-PG-L-V (pissed, cannibalistic hot dogs)
7. Grilled Cheese Deluxe: TV-PG (purple nurple, suggestive touching)
8. The Unicorns Got to Go: TV-PG-D-V (lady flashbacks, risque goth lady, eating crotch balls, attack of the unicorns)
9. Prank Callers: TV-PG (brain tumor)
10. Don: TV-PG-D (Don reveals all the characters are naked, sugar seems gay)
11. Rigby's Body: TV-PG-L (sucks, turds)
12. Mordecai and the Rigbys: TV-PG (crotch humps)
13. Ello Govnor: TV-PG-V (evil taxi)
14. It's Time: TV-PG-D (Rigby tongue-kissing Margaret, discussing how good movies have sex)
15. Appreciation Day: TV-PG (nothing wrong)
16. Peeps: TV-PG (implied naked Pops)
17. Dizzy: TV-PG (implied naked Pops)
18. My Mom: TV-PG-D (my mom jokes imply sex)
19. High Score: TV-PG (GBF kicked in the crotch)
20. Rage Against the TV: TV-PG-V (kick him in the junk, Hammer's killings)
21. Party Pete: TV-14-D (guests with breasts line, breast zoom-ins, sexual dancing with Pops, Pete's groin lump shown)
22. Brain Eraser: TV-14 (naked Pops seen throughout whole episode, implied long penis scene, junk)
23. Benson Be Gone: TV-PG (nothing wrong)
24. But I Have a Receipt: TV-PG-V (the stabbing)
25. This is My Jam: TV-PG (gutters, crotch humps)
26. Muscle Woman: TV-14-D-S (junk, tongue-kiss, big breasted Starla)
27. Temp Check: TV-PG (nothing wrong)
28. Jinx: TV-PG-V (Jinx monsters attack, NSFW remark on dirty raccoon, naked people)
29. See You There: TV-PG (nothing wrong)
30. Do Me a Solid: TV-PG (shake weight)
31. Grave Sights: TV-PG-V (zombies)
32. Really Real Wrestling: TV-PG-V (wrestlers)
33. Over the Top: TV-PG-V (Rigby's death)
34. The Night Owl: TV-PG-D (second base
35. A Bunch of Baby Ducks: TV-PG
36. More Smarter: TV-PG
37. First Day: TV-PG
38. Go Viral: TV-PG (panties)
39. Skunked: TV-PG
40. Karaoke Show: TV-PG
41. Stick Hockey: TV-PG (chinese man named Chong, like ching chong
42. Bet to Be Blonde: TV-PG (blonde stereotypes)",44f277a396d0bba7,0,0,0,0,0,1
32,That is a good idea!75.139.111.29,d0854303353d69e4,0,0,0,0,0,0
33,"Hello Solarra 

hi yes you did a  mistake by undoing in hazara page i am hazara and i know which info is right and which is wrong i dont come to your page and vandal anythings and have no problem with you but why that everyone come to hazara page and leave and add wrong and shameful info behind",625fdba4b694b601,0,0,0,0,0,0
34,"I have been blocked before you low-life bitch. We have dynamic ip's in India. Now go suck Cyphoidbomb's transgenders dick, if he has one.
Comment Signed by JackThomas.",8e21ba098393fcb6,0,0,0,0,0,1
35,"Choiceless awareness 

I have asked for a 3rd opinion, per WP:DR at Wikipedia:Third opinion#Active disagreements. This is the IP editor who has contributed to Choiceless awareness as 208.87.234.201, 108.55.199.227, 72.43.99.130, etc. 65.88.88.200",8a109230330224be,0,0,0,0,0,0
36,"LOL you are the one who keep saying that Finland is Scandinavia. There is NO different OPTIONS in Scandinavia -now you being pathetic.

And why don't you answer on the talk page instead. Comanche cph",e136f0bcfd4494f8,0,0,0,0,0,0
37,"Armed robbery and abduction have been on the increase
countrywide.",74,0,1,0,0,0,0
38,"I hadn't known how Annie was abducted and chastised 
myself for not seeking the details",69,0,1,0,0,0,0
39,"Image copyright problem with Image:Imperialgovernor.jpg

Thank you for uploading Image:Imperialgovernor.jpg. However, it currently is missing information on its copyright status. Wikipedia takes copyright very seriously. It may be deleted soon, unless we can determine the license and the source of the image. If you know this information, then you can add a copyright tag to the image description page.

If you have any questions, please feel free to ask them at the media copyright questions page. Thanks again for your cooperation.  babelfish",c5bac8bbccac0bf5,0,0,0,0,0,0
40,"How about leaving the dishonourable epithet up? If not, I can always bombard the article with multiple sockpuppets. Should keep it interesting, n'est pas. Goddamn traitors.24.224.214.165",40e179526311521d,0,0,1,0,0,1
41,"I see that you have your own views about how to write wikipedia articles , but they are your own views which others may or may not share. But as far as this article is concerned and the topic at hand , ie; the alleged copyvio , the fact is that it is not a copyright violation . Why? Because if you go to the faith freedom web site and scroll to the bottom of the page you will find the following statement:
©  copyright Permission is granted to translate and reproduce the articles in this site. Please provide a link to the original page.
The article thus conforms to those requirements. 

Will some admin please remove the copy vio tag

There is no copyright violation . read my last comment above this section.",e2a8c2c27509fd8f,0,0,0,0,0,0
42,fuk u retard i hate u i will kill u bettr watch ur bak cuz im teamin up wit my mothafuka boothy and we gonna rise the south on yo ass bitch,c137b2cdc15ced08,0,1,1,1,0,1
43,", possibly by including other non-western countries",9ff85790caa44f24,0,0,0,0,0,0
44,"""

Questioning of The Holocaust

Khamenei is often ranked among """"The World's Most Powerful People."""" As such, if he (and also there are some others) questions The Holocaust, saying """"the Holocaust is an event whose reality is uncertain and if it has happened, it's uncertain how it has happened,"""" then I believe, if it's mentioned in this article, Khamenei's should be present in The Holocaust article as well. There should be section in The Holocaust article about the views of the many prominent scholars like Khamenei, who questions The Holocaust or the extent of it.  """,6aa8a3775a92ec1f,0,0,0,0,0,0
45,"Screw You 

Why don't you wikipedia jerks just go drop some bombs in the toilet? I don't care! mln",7715a8d2ca3fa10c,0,0,0,0,0,1
46,He raised his hand to strike me but i moved back and ran,20,0,1,0,1,0,1
47,She attacked him with a pair of scissors ,82,1,1,0,0,1,1
48,"Vandalism of my user page 

Please do not vandalize my user page. I am also a BC resident and I am sick of all you damn potheads. If I was in power I'd round you all up and shoot you like to horrible animals you are. I'd make Hitler & Stalin look like cartoon characters!

Fuck you, you worthless peice of shit.",e061b485cfa88d4e,0,1,1,0,0,1
49,"Dr. Edna 

Will rise again.",5cb7c5c252edc3c0,0,0,0,0,0,0
50,Wikipedia administrators are defending a mass-murdering psychopath.,01c7c962932560ee,0,0,0,0,0,1
51,Who punched you?,48,0,1,0,0,0,0
52,"Sorry

One of my students was vandalizing Plate Tectonics Thanks for the revert.",b023a9f4307a1bb9,0,0,0,0,0,0
53,You're all fags for trying to delete this article. Go kill yourselves instead89.123.100.99  God Al-fucking-mighty,6f2b35d4add3051e,0,1,1,0,1,1
54,"Adaayein Altaaf Ki 

From recent talk with altaf raja who is currently residing in coimbatore.......",8c766923516eb27f,0,0,0,0,0,0
55,"They both didn't simply dislike one another—
the feelings ran far deeper.",46,1,0,0,0,1,1
56,Being a typical arrogant American i'm really not surprised you haven't heard of them. Perhaps you could explain the relevence of highways in Georgia to anyone who doesn't live there. Maybe you should stick to guns and pick-up trucks; i'm sure you can find another poor country for that simpleton President of yours to bomb. IDIOT perdy80,c201b5a5b79cd589,0,0,0,0,0,1
57,A butt ugly fugly muthafucka like you should do the world a favor and just kill yourself already!,c1e23ce6af66fa0e,0,1,1,0,1,1
58,"""

PedanticPrick: I am an individual who you do not know. I do not personally, to my knowledge, know anyone contributing to this site. I don't see myself as """"so married to [my] viewpoint"""" that I have forgotten this is supposed to be an encyclopedia article. I keep in mind, though new to the site, that it is for factual information and not unsubstantiated opinion.
What I am glad for is that I am not in an HDC mindset anymore where I have to define myself according to any """"leader's"""" definition of who I am or what I am saying, or find it necessary to assassinate anyone's character who does not think exactly like me. At the times I have become more heated is when disputing what is or is not factually doctrine or practice within TFI from its history according to what I know from personal experience and research. Cognomen suggested some studies to read. I find outside studies by professionals who are unaware of the intensity of prepping of children and adults as to how to act and react around media and academics to be unreliable. - Warheit""",2b58ed32afc0ee72,0,0,0,0,0,0
59,"==Greetings to the Fuckwad Jimbo Wales

Greetings fuckwads.  I have really enjoyed decorating your pages with pictures of scat, buttsex, and whatever other gross things I have been able to find.  I will be back later on to pull off my biggest caper yet-I am going for 100 pages and we have a top secert agent in side the wikipedia.

Wikipedia Liberation Army
The Wikipedia Liberation Army is now in full swing, but we are still willing to negotiate with your child molesters.  We want Jimbo to shoot himself and then we will talk.

Later fuckwads",ca0da19b98126c83,0,1,1,0,0,1
60,"Ollie is a guy who runs the DiFontaine.net at the moment but he didn't set up the site, the boss Martin handed him out the site. DiFontaine.net has loads of registered members, the crims have an account there and other bands too and this site works for companies and companies work for us. DiFontaine.net has got the authority (because it's flc name and Mateo's surname!!!) and was set up in 2003. The administrator decided to put the home page on the forums so people can get to hear the latest news easily and Myspace is something different. I'm not talking it. What is the reason you are going to extensively rewrite it??!! So what! DiFontaine has got the name. FLCNYC is not officially dedicated to the band. I know that you are working with Aitch, Angela (Coffeebug) and Lexy. If you don't want to come across as a pathological liar please do not tell me you don't know Ollie aka TheFLCguy.

Do not grime DiFontaine please!!! http://www.difontaine.net/forums/viewthread.php?tid=2654#pid69505 

You know which path to follow and stay clear and DO NOT edit my contribution!!",810d1b3992f350cc,0,0,0,0,0,0
61,Ammar tried to sucker punch saif,49,1,0,0,0,1,1
62,"How differs a road-killed lawyer from a road-kill skunk?
Skid marks are before the skunk.
75.159.15.217",de87cffffa98d230,0,0,0,0,0,1
63,".

Muhammad was a dirty warmonger, murderer, rapist and thief",39494e9674c2ecbc,0,1,0,0,0,1
64,Hide the knife somewhere before somebody sees it,14,0,0,0,1,1,1
65,"June 2010 
 Please stop. If you continue to introduce inappropriate pages to Wikipedia, such as Young stunnaz entertainment, you may be blocked from editing. If you need guidance on how to create appropriate pages, try using the Article Wizard.",76282d6d943044d2,0,0,0,0,0,0
66,"""

A Blast from the past

I was interested to read in your hidden DXRAW talk page that not long before you changed your name the following message was posted:

""""WHY DID YOU REMOVE MY EDIT, YOU CANCER RIDDEN CUNT. IT WAS CORRECT BUT YOU ARE A FUCKING IDIOT WHO CHANGES ANYTHING YOU DON´T LIKE.""""

On reading the details of the Nicholas Saunders (professor) deletion debate, I see that you haven't changed one little bit. How does it feel to be the mosted despised editor on Wikipedia. You can change your name as often as you like but nothing will help your social skills.  """,6dcf158f8ea754a5,0,1,1,0,0,1
67,Owais forcefully kissed Sara and then she slapped him,104,1,1,1,1,0,1
68,They’re preparing for another attack,81,0,0,0,0,1,1
69,"""

I think all of you americans you have a real attitude and mental problem !TAB
First you live in a World full of conspiracy and spyies . You STILL believe that America won Vietnam, that YOU (especially you) are a Americqan soldier hero ....pffff...TAB
Anyway no need to show  you more proves of how crazy and idiots americans are - by the way ...what happend in Ferguson ? Is """"American democracy"""" ? a ? THE Cowboy LAW ! All you you a bunch of stupid, incredible stupid cowboys !!!TAB
One guy enter in a shop, he molest the cashier, still some products, push away the employee and YOU...AMERICANS ...what you do ?TAB
You go in the street screaming - wasn't his  fault !TAB
You are a JOKE OF people !
A bunch of iditos !
But anyway, from my point of view ...keep thinking and acting like this.Alredy the whole Europe, Asia and in specially Russia DON'T like you at all !
You will end up of being the """"paria"""" of World ! -IF you know what that means !
It seems that what i was trying to explain to you was just something for a american military idiot who thinks he is STILL in 'Nam ! TAB
I'm doing contributions to many articles you dumb stupid fag from ALL OVER THE WORLD because i travel a lot with my work and in my free time i try to do something USEFUL !!!!!
You stupid piece of shit !TAB
You can do WHATEVER YOU WANT because I DON'T CARE  !!! I DO NOT sympathize with ANY publication, news, website, so I DON'T CARE ! And as long as i edit article, by ADDING USEFUL info's from a lot of different IP's ll over the world, what you will do ? BLOCK them ALL ? !
You stupid dumb !
You cannot take my opinion away !
And as i travel, i will continue to DEVELOP AND SUPPORT Wikipedia NOT with ....stupid accusations !
So SHUT UP and keep dreaming on the American way !TAB
Ok ?

Aaaa...so why is that when he is """"dreaming"""" on conspiracy"""" and is ACCUSING me  that i'm doing SPAM ??? And laughing like a little perp about """"shooting myself in the foot"""" and """"boomerang"""" ??? What the hell is this ? Why he is making accusations ? Aaaaa...i forgot ! Upssss...he IS AN AMERICAN !!!! And ALLL AMERICANS have """"the right"""" to do WHATEVER  THEY WANT in the WHOLE WORLD  no ?
Invading other countries, CLAIMING that ...aaaaa...ups ...Ukraine was defenseless ...Syria the same ..now Bagdad again ... C\mon on ! Let's do on Wikipedia THE SAME NO ???

If  - as i mentioned before - i use MANY IP's while travelling, i edit from different IP's and one user i was using it just from time to time like this one and IT HAPPEN that i was REMOVING and ADDING some links from some pages where i read DIFFERENT Info's related with THAT wiki article, WHY HE IS SO IDIOT and makes  accusations ?!
And then EXACTLY like a ... american cowboy is """"hunting me"""" and accusing that i'm using IN THE SAME TIME another IP ????
Is he CRAZY ?
Why only him is making accusations and IS OK ?
IF HE continue like this I WILL make complains and report abuse and send to dispute and admins !
I also have my rights no ?

TELL HIM TO STOP playing like a stupid child and STOP accusations, and i will mind my way !""",498833f45c86977a,0,0,0,0,0,1
70,"""

 I'm a little confused with the first statement you make. """"A gas is 'ideal' at sufficiently low pressure, p."""" I'm not arguing it but I feel like theres two ideas in there that are a little confusing... a gas can act any which way it wants to at any given ambient conditions, whether under those conditions it follows the model stated by the """"Ideal Gas"""" is a totally different thing. If we consider a """"gas"""" as one model and an """"Ideal Gas"""" as another then we can see where the two correlate (under what conditions they correlate). Whether they correlate more at """"sufficiently low pressure"""" is fine but thats not what I'm trying to explain in the article. The model for an """"Ideal Gas"""" has is own conditions and assumptions, thats the only thing I'm trying to display in the method of writing this article. Most people confuse the concept of an Ideal Gas and other simplifications of gases with the actual gas itself. Basically, I'm trying to have people say """"This gas behaves as an Ideal Gas under these conditions"""" instead of """"This gas is an Ideal Gas"""". I don't have any issue with your equations, I don't understand where that brings any more clarity to the statement.   

 Also, deviations from the """"Ideal Gas model"""" is not necessarily just phase-changes or chemical reactions. I can theoretically squeeze enough gas into a container to where intermolecular forces would become significant enough to where the gas deviates from the ideal model. (this is just one example)   """,57f7db5d52e5408b,0,0,0,0,0,0
71,I would love to kill him with my own hands,15,1,1,0,0,1,1
72,"Please do NOT deleted the theme song information, the information is CORRECT as the song was used in many video packages advertising the event and played during the opening pyro of the event.! 23:39, 12 January 2008",6703f37369327949,0,0,0,0,0,0
73,"What are your motivations for Vandalizing articles?

You shoud consider more ethical behaviour. Your motivations might be from  racism to political. Whatever they are, you are a bad guy. Why did you choose Damiens as an Icon? This historical figure is not a good example. You should choose somebody less violent than an anarchist murderer.",2075d9532c2d93b9,0,0,0,0,0,1
74,"""
 QURAN 
this page is supposed to be the """"criticisms"""" of the QURAN, not islam, the quran has been perverted(deliebrately by conspirators and profiteers, and power freaks) into all different sects and """"Traditions"""" and cultures. PLease stick to the criticism of the QURAN, and the QURAN ONLY.
And since such criticisms are subjective, and every single person in the world has an opinion, who's opinions are you going to put in this article? judaic """"scholars"""" ? christian """"scholars""""?
either make this article precise well cited criticisms of the verses of the quran, or delete the article.
""",99a757a90e3edcba,0,0,0,0,0,0
75,Lets smash the window to get in there,33,0,0,0,0,1,1
76,"God, I hate men!",41,0,1,0,0,0,1
77,"The composition section is confusing for English-speakers not familiar with German politics, could we add a brief definition for what a 'Land' is?  I'd add it but I'm really not sure what would be the best translation.",438d49e294a3a9e5,0,0,0,0,0,0
78,"""
 Hello, Sunita Bhasin and Welcome to Wikipedia! Thank you for your contributions to this free encyclopedia. If you decide that you need help, check out Getting Help below, ask me on my talk page, or place  on your talk page and ask your question there. Please remember to sign your name on talk pages by using four tildes (~~~~) or by clicking  if shown; this will automatically produce your username and the date. Also, please do your best to always fill in the edit summary field with your edits. Below are some useful links to facilitate your involvement. Happy editing!   
|}""",ddbff3cc8657110f,0,0,0,0,0,0
79,"Mr. antisemitic, the world hates us and it is not new. Most of the media, most governments in most countries, most of the world really hate us. The reason that the world envies us that God gave us the Torah. And of course after the jealousy has hatred. And that's also why most Muslims hate us crazy. And so they are willing to commit suicide and most importantly try to hit us on the way. Even send their children to suicide bombing. Lol46.120.172.91",d6a2cd8e576d254f,0,0,0,0,0,1
80,He will suffer serious physical harm!,84,1,1,0,1,1,1
81,"""
WTH? My own user page... go """"F-bomb"""" yourself...  Free speech and all.  I was removing content from my page that was the result of TAUNTING by the other individual.  Please read WP:CIVIL... as per WP:NPA there is the statement of """"Using someone's affiliations as a means of dismissing or discrediting their views—regardless of whether said affiliations are mainstream."""" which my counterpart engaged in fairly often, attempting to establish a bogus COI in order to get my point of view rejected from the article.   """,ba56062dbd0d3647,0,0,1,0,0,0
82,"hi were bp [PARODIE] 

hello were gonna kill the gulf and yo and spill oil on your body and light ya up and shoot ya dead bodie cause were evil",307c20447287f261,0,0,0,0,1,1
83,Marium bashed him with the book,27,1,1,0,0,0,1
84,"You support the president!?
Do you like the smell of tax money down the drain and dead people being killed for a lost cause.",ce8876d54400673f,0,0,0,0,0,1
85,I wanted to punch him in the face,50,1,0,0,0,1,1
86,"""
 Your threats are empty. 'I don't really give a rats about making Wikipedia better any more.' is pretty tame on the scale of Wikipedia comments. It was also a response to incivility towards me by another """"experienced"""" user. I also don't expect assistance. I expect bureaucratic nonsense, which is exactly what I'm getting. It's just funny how freely it flows here.""",40e2cbbcbfb853d0,0,0,0,0,0,0
87,"Oh, did you see the game last night? totally got RAPED!",65,0,1,0,0,0,0
88,"I am going to shoot you in the head and laugh as your brains splatter onto the ground.  

I am going to shoot you in the head and laugh as your brains splatter onto the ground.",743c095b33074b03,0,0,0,1,1,1
